year,date,type,registration,operator,fatalities,location,damage
1990,2 Jan 1990,CASA/Nurtanio NC-212 Aviocar 200,PK-PCM,Pelita Air Service,9,"Banten Bay, Java Sea",w/o
1990,2 Jan 1990,McDonnell Douglas DC-10-10,N109AA,American Airlines,0,"Baltimore, MD",non
1990,3 Jan 1990,Britten-Norman BN-2A Trislander Mk.III,YJ-RV3,Vanair,0,15 km from Port Vila-Bauerfield Airport (VLI),w/o
1990,4 Jan 1990,Fairchild SA227-AC Metro III,N31138,"USAir Express, opb Chautauqua Airlines",0,"Hagerstown, MD",w/o
1990,5 Jan 1990,Fokker F-28 Fellowship 4000,LV-MZD,Aerolineas Argentinas,0,"Villa Gesell Airport, BA (VLG)",w/o
1990,5 Jan 1990,Lockheed L-100-30 Hercules,D2-THB,Angola Air Charter,0,Menongue Airport (SPP),w/o
1990,6 Jan 1990,Lockheed L-1329 JetStar 731,N96GS,Grecoair,1,"Miami International Airport, FL (MIA)",w/o
1990,9 Jan 1990,PADC/Britten-Norman BN-2A-21 Islander,VH-SBD,Sunbird Airlines Pty Ltd,0,"Yorke Island Airport, QLD (OKR)",sub
1990,9 Jan 1990,Antonov An-24TV,,Al Quwwat al-Jawwiya As-Sudaniya (Sudanese Air Force),,Kajo Kaji,w/o
1990,11 Jan 1990,Boeing KC-135A Stratotanker,59-1494,United States Air Force - USAF,0,"Portsmouth-Pease AFB, NH (PSM)",w/o
1990,13 Jan 1990,Tupolev Tu-134A,CCCP-65951,"Aeroflot, North Kavkaz Civil Aviation Directorate",27,3 km E of Pervouralsk,w/o
1990,15 Jan 1990,Fairchild SA227-AC Metro III,N2721M,SkyWest Airlines,0,"6,6 km ENE of Elko Airport, NV (EKO)",sub
1990,15 Jan 1990,CASA C-212 Aviocar 200,TI-SAB,Servicios Aéreos Nacionales - SANSA,23,16 km SSE of San José-Juan Santamaria International Airport (SJO),w/o
1990,16 Jan 1990,Boeing 737-300,,America West Airlines,0,"Austin-Robert Mueller Municipal, TX (AUS)",non
1990,16 Jan 1990,Boeing 757-222,N505UA,United Airlines,0,"New York, NY",sub
1990,17 Jan 1990,Beechcraft Beechjet 400A,N3121B,Sara Lee Corporation,0,"McCharen Field, 2 miles W of West Point, Mississippi",sub
1990,17 Jan 1990,Cessna 208A Cargomaster,N835FE,Federal Express,1,"17 km SW of Leadville, CO",w/o
1990,18 Jan 1990,Boeing 727-225,N8867E,Eastern Air Lines,0+1,"Atlanta-William B. Hartsfield International Airport, GA (ATL)",sub
1990,18 Jan 1990,Beechcraft A100 King Air,N44UE,Epps Air Service,1,"Atlanta-William B. Hartsfield International Airport, GA (ATL)",w/o
1990,18 Jan 1990,Learjet 23,N331DP,Aero Flight Services,2,"Ansonia, OH",w/o
1990,19 Jan 1990,Gulfstream American G-1159 Gulfstream II,N46TE,Eastman Kodak,7,"Little Rock National Airport, AR (LIT)",w/o
1990,20 Jan 1990,McDonnell Douglas DC-10-10,N124AA,American Airlines,0,"San Juan, PR",non
1990,21 Jan 1990,Beechcraft 300 Super King Air,HI-578SP,private,,Santo Domingo,w/o
1990,22 Jan 1990,Britten-Norman BN-2A-27 Islander,C-GSAF,Western Arctic Air,0,"within Inuvik, NT",sub
1990,23 Jan 1990,CASA C-212 Aviocar 200,ARV-0210,Marina Venezolana,24,near La Sabaneta,w/o
1990,24 Jan 1990,IRMA/Britten-Norman BN-2A-6 Islander,VH-BAY,Bougair,0,Wakunai Airport (WKN),w/o
1990,25 Jan 1990,Hawker Siddeley HS-748-207 Srs. 2,PK-OBW,Airfast Indonesia,19,Mount Rinjani,w/o
1990,25 Jan 1990,Boeing 707-321B,HK-2016,Avianca,73,"Cove Neck, NY",w/o
1990,26 Jan 1990,Antonov An-24RV,BNMAU-10208,MIAT - Mongolian Airlines,0,near Ulaangom Airport (ULO),w/o
1990,26 Jan 1990,Boeing 727,,Iran Air,4,Shiraz Airport (SYZ),unk
1990,27 Jan 1990,Nord 262C-66,TN-230,Force Aérienne Congolaise,28,near Kinkala,w/o
1990,28 Jan 1990,Antonov An-2,03 Yellow,DOSAAF,3,"Okha, Sakhalin Island",w/o
1990,29 Jan 1990,Cessna 208B Grand Caravan,N4688B,Airborne Express,2,"1,6 km SE of Burlington International Airport, VT (BTV)",w/o
1990,29 Jan 1990,Cessna 208B Super Cargomaster,N854FE,"Federal Express, opb Wiggins Airways",1,"3,2 km S of Plattsburgh-Clinton County Airport, NY (PLB)",w/o
1990,30 Jan 1990,Hawker Siddeley HS-125-3B,G-OBOB,Slender You Ltd.,1,"5 km E of Columbia Regional Airport, MO (COU)",w/o
1990,31 Jan 1990,Boeing 727-123,N519FE,Federal Express,0,"Indianapolis, IN",min
1990,1 Feb 1990,Ilyushin Il-76M,CCCP-86021,Soviet Air Force,8,"3,7 km from Panevezys-Pajuostis Air Base (PNV)",w/o
1990,1 Feb 1990,Boeing 727-123 (F),N519FT,Federal Express,,"Indianapolis, IN",min
1990,3 Feb 1990,North American Sabreliner 40,N50CD,City of Detroit,0,"Detroit City Airport, MI (DET)",w/o
1990,5 Feb 1990,Grumman G-159 Gulfstream I,HK-3315,Helicol Colombia,15,ca 6 km WNW of Ibagué-Perales Airport (IBE),w/o
1990,8 Feb 1990,Lockheed C-130H Hercules,,Al Quwwat al-Jawwiya As-Sudaniya (Sudanese Air Force),,,w/o
1990,10 Feb 1990,Swearingen SA226-TC Metro II,C-FGEP,Perimeter Airlines (Inland),0,"Winnipeg International Airport, MB (YWG)",w/o
1990,12 Feb 1990,Fokker F-27 Friendship 200,PT-LCG,TAM Transportes Aéreos Regionais,1+2,"Bauru Airport, SP (BAU)",w/o
1990,14 Feb 1990,Airbus A320-231,VT-EPN,Indian Airlines,92,"0,7 km W of Bangalore-Hindustan Airport (BLR)",w/o
1990,17 Feb 1990,de Havilland Canada DHC-5D Buffalo,AF-316,Zambian Air Force,29,ca 10 km W of Lusaka Airport (LUN),w/o
1990,18 Feb 1990,McDonnell Douglas DC-9-32,EC-BIQ,Aviaco,0,Menorca-Mahón Airport (MAH),w/o
1990,20 Feb 1990,Antonov An-2R,CCCP-56472,Aeroflot / Lithuania,,Siauliai,w/o
1990,21 Feb 1990,Saab 340A,HB-AHA,Crossair,0,Zürich-Kloten Airport (ZRH),w/o
1990,23 Feb 1990,Mitsubishi MU-300,N368PU,Purdue Research Foundation,0,"Gary, IN",sub
1990,24 Feb 1990,Fokker F-27 Friendship 600,D-AELB,FTG Air Service Flugcharter,0,near Bergisch Gladbach,w/o
1990,25 Feb 1990,Boeing 737-3T5,G-BLKD,Britannia Airways,0,East Midlands Airport (EMA/EGNX),sub
1990,25 Feb 1990,Learjet 31,N984JD,Lear Jet Corp.,0,Taiyuan Airport (TYN),w/o
1990,27 Feb 1990,Cessna 208A Cargomaster,N820FE,Federal Express,1,"4,8 km from Denver International Airport, CO (DEN)",w/o
1990,28 Feb 1990,IAI Arava 201,GN7960,Guardia Nacional Bolivariana de Venezuela - GNBV,0,near Caracas-La Carlota Airport,w/o
1990,xx Feb 1990,IRMA/Britten-Norman BN-2A-27 Islander,P2-BAC,Bougair,0,"Kieta-Aropa Airport (KIE), Bougainville",w/o
1990,1 Mar 1990,Boeing 707-329C,9Q-CVG,Katale Aero Transport,0,Goma Airport (GOM),w/o
